fn_id,host_submit_reduce,init_fn_reduce,post_download_reduce,pre_upload_reduce,end_fn_reduce,finished
264,1712246028144,1712246031896,1712246244372,1712246248945,1712246253613,1712246276453
265,1712246028144,1712246031911,1712246235459,1712246240212,1712246248396,1712246276453
266,1712246028144,1712246031923,1712246251912,1712246257031,1712246260565,1712246276453
267,1712246028144,1712246031935,1712246221337,1712246224202,1712246232692,1712246276453
268,1712246028144,1712246031913,1712246226030,1712246229415,1712246237882,1712246276453
269,1712246028144,1712246031914,1712246237075,1712246242561,1712246251625,1712246276453
270,1712246028144,1712246031937,1712246241470,1712246246645,1712246253665,1712246276453
271,1712246028144,1712246031947,1712246243839,1712246250477,1712246254880,1712246276453
272,1712246028144,1712246031932,1712246215915,1712246219695,1712246230750,1712246276453
273,1712246028144,1712246031927,1712246223658,1712246227349,1712246235981,1712246276453
274,1712246028144,1712246031954,1712246251414,1712246255576,1712246257436,1712246276453
275,1712246028144,1712246031950,1712246228957,1712246233585,1712246245569,1712246276453
276,1712246028144,1712246031964,1712246228331,1712246231978,1712246241722,1712246276453
277,1712246028144,1712246031959,1712246219322,1712246223056,1712246233215,1712246276453
278,1712246028144,1712246031977,1712246249476,1712246253022,1712246254826,1712246276453
279,1712246028144,1712246031956,1712246233340,1712246237282,1712246246184,1712246276453
280,1712246028144,1712246031954,1712246235344,1712246238951,1712246248121,1712246276453
281,1712246028144,1712246031967,1712246235407,1712246241629,1712246252760,1712246276453
282,1712246028144,1712246031971,1712246243969,1712246248078,1712246252892,1712246276453
283,1712246028144,1712246031992,1712246250709,1712246256960,1712246259379,1712246276453
284,1712246028144,1712246031994,1712246233364,1712246237141,1712246247730,1712246276453
